gene,phenotype,gene_disgenet_class,NPMI,n_g,n_p,n_gp
CXCL9,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.0011604173565965203,508,28028,4.0
TSLP,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.0011619382587734072,319,167631,15.0
SRM,"['C0030305', 'Pancreatic inflammation', 'HPO', 'HP:0001733']",NA,0.0011677671424359932,110,32304,1.0
DDC,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.001210497559374071,78,182416,4.0
DSP,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.001210497559374071,78,182416,4.0
MAT1A,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.001210497559374071,78,182416,4.0
SIRT1,"['C0024623', 'Gastric cancer', 'HPO', 'HP:0012126']",S,0.001211035637008783,2579,5517,4.0
VEGFA,"['C0003864', 'Arthritis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001369']",1.0,0.0012218324675766653,490,7246,1.0
CXCL2,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.0012434803190002179,470,37835,5.0
GDF15,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.0012441528362742331,327,76164,7.0
REG3A,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",1.0,0.0012608016189841454,727,151966,31.0
NGF,"['C0027051', 'Heart attack', 'SNOMEDCT_US, HPO', 'HP:0001658']",S,0.0013002870053876352,1272,2788,1.0
LPL,"['C0028754', 'Having too much body fat', 'HPO', 'HP:0001513']",1.0,0.0013205060149443324,3003,23705,20.0
NUPR1,"['C0233660', 'Blocking', 'SNOMEDCT_US', 'NULL']",1.0,0.0013234564385741173,1057,6714,2.0
TRPV4,"['C0021390', 'Inflammatory bowel disease', 'OMIM, SNOMEDCT_US, HPO', 'HP:0002037']",NA,0.0013468736955072396,1042,3401,1.0
HGF,"['C0027051', 'Heart attack', 'SNOMEDCT_US, HPO', 'HP:0001658']",1.0,0.0013523676306273287,1271,2788,1.0
HMGB1,"['C1458155', 'Neoplasia of the breast', 'HPO', 'HP:0100013']",1.0,0.0013822371978185906,6945,510,1.0
PTGS2,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",1.0,0.0013946801505268175,233,76164,5.0
HMGB1,"['C0856169', 'Endothelial dysfunction', 'SNOMEDCT_US', 'HP:0032654']",1.0,0.0013973921795092672,6945,1532,3.0
ADAMTS13,"['C0015967', 'Fever', 'MSH, OMIM, SNOMEDCT_US, HPO, PPTO', 'HP:0001945']",S,0.0014051251308482987,378,9367,1.0
SET,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.001409894446109517,187,18933,1.0
TET2,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.001409894446109517,187,18933,1.0
IL33,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",1.0,0.001409894446109517,187,18933,1.0
SAT1,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",S,0.0014116234645952764,70,151966,3.0
PPARD,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.0014116234645952764,70,151966,3.0
CXCL10,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.001428283527842,1267,28028,10.0
CD2,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",NA,0.001454630508393169,91,38880,1.0
CYP2C8,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",NA,0.001454630508393169,91,38880,1.0
LCAT,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",NA,0.001454630508393169,91,38880,1.0
UBC,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.0014550841784436218,93,76164,2.0
RTCA,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.0014550841784436218,93,76164,2.0
FBN1,"['C0009450', 'Communicable Diseases', 'MSH', 'NULL']",NA,0.0014550841784436218,93,76164,2.0
CDH1,"['C0022658', 'Nephropathy', 'OMIM, HPO, SNOMEDCT_US', 'HP:0000112']",NA,0.001470728664015783,530,6674,1.0
STAT3,"['C0427008', 'Stiffness', 'OMIM, SNOMEDCT_US', 'NULL']",1.0,0.0014948291376854334,7790,2275,5.0
SERPINA1,"['C0678222', 'Breast cancer', 'HPO', 'HP:0003002']",1.0,0.00150864966825883,271,13045,1.0
AHR,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",S,0.001512974764504727,547,38880,6.0
DBP,"['C0021655', 'Body fails to respond to insulin', 'HPO', 'HP:0000855']",NA,0.00151505624851901,469,7537,1.0
MAF,"['C0149521', 'Chronic pancreas inflammation', 'HPO', 'HP:0006280']",NA,0.0015159742011346478,546,6474,1.0
SET,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.0015345673194889328,187,37835,2.0
TPMT,"['C1397014', 'Imbalance', 'OMIM, HPO', 'HP:0002172']",1.0,0.0015552520110170272,1081,3268,1.0
MPO,"['C0007131', 'Non-small cell lung cancer', 'HPO', 'HP:0030358']",1.0,0.001564643907835777,2819,1253,1.0
TLR4,"['C0018799', 'Cardiac Diseases', 'MSH', 'NULL']",1.0,0.0016337368577271562,6731,2628,5.0
SCD,"['C0002940', 'Aneurysm', 'HPO', 'HP:0002617']",NA,0.0016398083051248616,1196,2950,1.0
